,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank
Expedia Inc.,0.002881844380403458,0.0,0.0010908606997005524,0.14177128918063117,0.0009107206096654083
Burda Principal Investments,0.002881844380403458,0.0,0.017330117939511336,0.19567155567422576,0.0007169728305674206
German Media Pool,0.001440922190201729,0.0,1.5838087838964918e-20,0.001440922190201729,0.0014749262536873158
Elaia Partners,0.002881844380403458,0.0,0.0013651333849989775,0.152477668695517,0.000919501201235282
MasterCard,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.001474926253687316
Softbank Group,0.020172910662824207,0.014193793254961638,0.09061255373144494,0.243681154878114,0.004094770698789945
Redpoint e.ventures,0.005763688760806916,9.923284501096741e-05,0.06040529352888269,0.21977941480633728,0.0011618611700090174
K2 Ventures,0.005763688760806916,7.077334687032235e-05,0.031955522267005904,0.20392407411553606,0.0012678960403281496
Earlybrid Venture Capital,0.004322766570605187,0.0,0.023131521441026426,0.19799093833846768,0.0010052817868043014
Rothenberg Ventures,0.002881844380403458,0.0,0.00719950758954385,0.18093115783170655,0.0008203933746565462
Guangzhou Huiyin Aofeng Equity Investment Fund,0.002881844380403458,0.0,0.003456019188489798,0.166051143947671,0.0008746418847535816
Huasheng Capital,0.002881844380403458,0.0,0.007522400665883283,0.18164665425417498,0.0007824196238867017
Deerfield Management,0.002881844380403458,0.0,0.0033126028520894797,0.16642716555987136,0.0008678414153671691
China Resources Holdings,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.0014749262536873158
Red Sea Ventures,0.002881844380403458,0.0,0.0017057750982463857,0.15518208680582601,0.0010177279376250288
Foundry Group,0.005763688760806916,0.004183456633024356,0.0003269257599565321,0.1406857509786355,0.001832556410894247
Merrysunny Wealth,0.002881844380403458,0.0,0.017465029421346742,0.1964036245623709,0.0008252673990211728
China Life Insurance,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.001474926253687316
MPM Capital,0.002881844380403458,0.0,0.03480999475342708,0.20609712930801793,0.0007146577175025158
SingTel Innov8,0.002881844380403458,0.0,0.017774765536639925,0.19119208197512796,0.0007879216762798816
MindWorks Ventures,0.002881844380403458,0.0,0.005424015925143732,0.17067867234379747,0.0007885428859286856
Banyan Capital,0.004322766570605187,0.006262709432738251,0.016257726391891273,0.19692989365283814,0.0014339683445034716
Teamworthy Ventures,0.002881844380403458,0.0,0.008150719027112336,0.18355203873935863,0.0008350658863751706
BOLDstart Ventures,0.002881844380403458,0.0,0.030276803546848495,0.20598160401132062,0.00070343672567651
Dark Horse Technology Group,0.002881844380403458,0.0,4.713521628326605e-05,0.12032455191754944,0.0011148883492151757
Batavia Incubator,0.002881844380403458,0.0,6.404377321127787e-16,0.003242074927953891,0.0014497757909407733
Viking Global Investors,0.002881844380403458,0.0,0.018121968170866597,0.19650865323860747,0.0006941947903187223
ENIAC Ventures,0.002881844380403458,0.0,0.025861119470153363,0.2023519722225749,0.0007055522615200909
TPG Alternative & Renewable Technologies,0.002881844380403458,0.0,0.005347830790091391,0.17624517101016593,0.0008191786627368427
Microsoft Ventures,0.002881844380403458,0.0,0.015536421291607984,0.19139124039385205,0.0008403732110576789
Blackbird Ventures,0.002881844380403458,0.0,0.024593530526260857,0.2033598127040376,0.0007177411220182831
QiMing Venture Partners,0.007204610951008645,0.0006556113521783635,0.013817110133996606,0.19000578156990486,0.001695386354548233
Section 32,0.005763688760806916,0.0014387341489238018,0.045110556464529154,0.21886312183215959,0.0012046287079992201
Russia-China Investment Fund,0.002881844380403458,0.0,0.0022864144233861717,0.1609597816715707,0.0008608741945912715
OMERS Ventures,0.002881844380403458,0.0,0.0021330311363847243,0.15617134787768633,0.0009054483408396598
Jackson Square Ventures,0.005763688760806916,0.0002285433408619493,0.034633451610793654,0.2107059527271766,0.0011889587410600295
Highland Capital Partners,0.004322766570605187,2.8273083651902718e-05,0.018309860117935093,0.19360968469767967,0.0010485949396224527
Sequoia Capital,0.0547550432276657,0.05320195386300679,0.2589276739187301,0.26493956853366685,0.01019689856847614
Crowdcube,0.001440922190201729,0.0,1.5838087838964918e-20,0.001440922190201729,0.0014749262536873158
IFC,0.001440922190201729,0.0,1.5838087838964918e-20,0.001440922190201729,0.0014749262536873158
Shenzhen Capital Group,0.005763688760806916,0.0004694423437254607,0.02230889126550202,0.1972470110339216,0.0013547424254581341
BPI France,0.002881844380403458,0.0,0.013555879410178811,0.1850308064230594,0.000811913457116293
Lakestar,0.005763688760806916,0.00833364522125329,0.028636747498496602,0.20246346091250464,0.0015220193374378922
Blume Ventures,0.002881844380403458,0.0,0.008183787228182669,0.18291248459740966,0.0007222261673509064
Sequoia Capital India,0.01296829971181556,0.00837919244311734,0.04406845447159695,0.22379487305493054,0.0027021986500988552
Affirma Capital,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.0014749262536873158
Georgian Co-Investment Fund,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.0014749262536873158
A&E Television Networks,0.001440922190201729,0.0,0.0014900058764100764,0.15159702209414025,0.0005903402846545362
Diamler,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.0014749262536873158
iFLYTEK,0.002881844380403458,0.0,0.009436584177127354,0.1821870012673257,0.0008399063835351192
SAIF Partners India,0.005763688760806916,0.001188535808161381,0.020197046282717037,0.19938751033976992,0.0013863754997893738
Tencent,0.01585014409221902,0.01017841919803731,0.03829441968424815,0.21847275954589535,0.0037230088200083345
JOY Capital,0.002881844380403458,0.0,0.0020500781409777086,0.16067826040935548,0.0008066599139557235
Digital Currency Group,0.002881844380403458,0.0,0.02185373146145561,0.19874049840789396,0.0007205421942342515
GGV Capital,0.02593659942363112,0.024731378708243056,0.08963763775903416,0.24481757598680612,0.005361277031990035
IDG Capital,0.04178674351585014,0.03628621289011734,0.10390432324119979,0.24271544356419814,0.008930362103338016
L Capital Partners,0.0,0.0,1.8880471991258762e-27,0.0,0.0002212389380530974
Aviv Venture Capital,0.001440922190201729,0.0,0.0015264026957534666,0.15710610583847626,0.0005536544827920877
PayPal Ventures,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.0014749262536873158
500 Startups,0.004322766570605187,8.317011198855579e-06,7.493675360887759e-16,0.004322766570605188,0.002167783258139294
Draper Fisher Jurvetson,0.002881844380403458,0.0,0.00719950758954385,0.18093115783170655,0.0008203933746565462
Source Code Capital,0.005763688760806916,0.00833364522125329,0.01199982159600091,0.1897115031265854,0.001687861836937295
Basepoint Ventures,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.0014749262536873158
China Development Bank Capital,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.001474926253687316
CITIC Securities International,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.0014749262536873158
Partners Investment,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.001474926253687316
NewSpring Holdings,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.0014749262536873158
Felix Capital,0.002881844380403458,0.0,0.0013651333849989775,0.152477668695517,0.000919501201235282
Launchpad Venture Group,0.002881844380403458,0.0,0.01153056002389833,0.17847070498115394,0.0007306053529064231
Movile,0.002881844380403458,0.0,1.7774676510112385e-16,0.002881844380403458,0.0014749262536873158
Tiger Global,0.005763688760806916,0.00024848947928076743,0.02761550785984846,0.19525567564091179,0.001309831092843425
Vertex Ventures China,0.002881844380403458,0.0,0.003506312070622879,0.16856476218174127,0.0008694882617309462
Global Bridge Capital,0.002881844380403458,0.0,0.018500649871150302,0.1966137943050808,0.0008316404611856279
