,Company,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank,Valuation ($B) ,Date Added,Country,Category,Select Investors,Valuation($B) flaot,DateTime Joined
0,VAST Data,0.031031031031031032,0.0030549381606866668,0.009505784453895055,0.3473110885788764,0.001193881474151068,$3.70 ,2020/4/16,United States,Data management & analytics,"['Norwest Venture Partners', ' Goldman Sachs', ' Dell Technologies Capital']",3.7,2020-04-16
1,J&T Express,0.05305305305305305,0.0052524399323913475,0.008817472043278906,0.33158271486801744,0.0017837909383575275,$20.00 ,2021/4/7,Indonesia,"Supply chain, logistics, & delivery","['Hillhouse Capital Management', ' Boyu Capital', ' Sequoia Capital China']",20.0,2021-04-07
2,Deezer,0.002002002002002002,0.00020838503880218662,9.286399610899942e-05,0.23420017866077766,0.00038218634754714435,$1.40 ,2018/8/2,France,Internet software & services,"['Orange Digital Ventures', ' Access Industries']",1.4,2018-08-02
3,Miro,0.06406406406406406,0.0017891989369631562,0.09881613697396342,0.3614965953386061,0.0017169513239113216,$17.50 ,2022/1/5,United States,Internet software & services,"['Accel', ' AltaIR Capital', ' Technology Crossover Ventures']",17.5,2022-01-05
4,Swiggy,0.012012012012012012,0.0,0.006660117382742737,0.31073086975864755,0.0005213510292973962,$10.70 ,2018/6/21,India,"Supply chain, logistics, & delivery","['Accel India', ' SAIF Partners', ' Norwest Venture Partners']",10.7,2018-06-21
5,Varo Bank,0.011011011011011011,0.0,0.001605104774458135,0.29309112606055837,0.0006164017182227891,$2.50 ,2021/9/9,United States,Fintech,"['Warburg Pincus', ' The Rise Fund', ' HarbourVest Partners']",2.5,2021-09-09
6,Noom,0.015015015015015015,0.004075076119748726,0.006186232120552591,0.3026735867773072,0.0009849557221538571,$3.70 ,2021/5/24,United States,Health,"['Qualcomm Ventures', ' Samsung Ventures', ' Silver Lake']",3.7,2021-05-24
7,PAX,0.04804804804804805,0.0008082870837561127,0.04659291511884051,0.3715011136597852,0.0013522960019588521,$1.70 ,2018/10/22,United States,Consumer & retail,"['Tao Capital Partners', ' Global Asset Capital', ' Tiger Global Management']",1.7,2018-10-22
8,Forto,0.017017017017017015,0.0016930588805226692,0.0029870718216686186,0.29643519117203326,0.0011602572711079274,$1.20 ,2021/6/21,Germany,"Supply chain, logistics, & delivery","['Cherry Ventures', ' Northzone Ventures', ' Global Founders Capital']",1.2,2021-06-21
9,Chronosphere,0.04104104104104104,0.0018919493714053969,0.011832670523589824,0.35217071028177277,0.001331427744041076,$1.00 ,2021/10/7,United States,Data management & analytics,"['Greylock Partners', ' Lux Capital', ' General Atlantic']",1.0,2021-10-07
10,Zuoyebang,0.05905905905905906,0.004098311887475951,0.009705454459696422,0.33855166642051887,0.0019108087923901526,$3.00 ,2018/7/18,China,Edtech,"['Sequoia Capital China', ' Xiang He Capital', ' GGV Capital']",3.0,2018-07-18
11,Prime Medicine,0.025025025025025023,4.8067080236316085e-05,0.015748678717322908,0.33076567327080675,0.0008273281255472549,$1.20 ,2021/7/13,United States,Health,"['Newpath Partners', ' Google Ventures', ' F-Prime Capital']",1.2,2021-07-13
12,Red Ventures,0.026026026026026026,0.0,0.005891355164453651,0.32088223681849176,0.0009136495349519412,$1.00 ,2015/1/7,United States,Other,"['Silver Lake Partners', ' General Atlantic']",1.0,2015-01-07
13,Graphcore,0.009009009009009009,0.0007407031675229185,0.0008039518489355675,0.29107857405652854,0.0006011273851972314,$2.77 ,2018/12/18,United Kingdom,Artificial intelligence,"['Dell Technologies Capital', ' Pitango Venture Capital', ' Amadeus Capital Partners']",2.77,2018-12-18
14,Capsule,0.016016016016016016,3.0438428507459133e-05,0.0059347713115305515,0.31547763980196414,0.0006184279793692743,$1.00 ,2021/4/28,United States,Health,"['Thrive Capital', ' Durable Capital Partners', ' G Squared']",1.0,2021-04-28
15,BitPanda,0.005005005005005005,0.0,0.0001081187344653178,0.24230277208616557,0.0005351264044139419,$4.11 ,2021/3/16,Austria,Fintech,"['Speedinvest', ' Valar Ventures', ' Uniqa Ventures']",4.11,2021-03-16
16,ServiceTitan,0.03903903903903904,0.002630573036893052,0.008152751125080302,0.3424381013666728,0.0015232947004278513,$9.50 ,2018/11/14,United States,Internet software & services,"['Bessemer Venture Partners', ' ICONIQ Capital', ' Battery Ventures']",9.5,2018-11-14
17,Vagaro,0.002002002002002002,0.0,2.1082405656488437e-05,0.22145021017718294,0.0003466107043094894,$1.00 ,2021/11/3,United States,Internet software & services,['FTV Capital'],1.0,2021-11-03
18,Current,0.013013013013013013,0.00031483147212848996,0.002432841690387854,0.29469974914541325,0.0006727783361249013,$2.20 ,2021/4/27,United States,Fintech,"['Expa', ' QED Investors', ' Foundation Capital']",2.2,2021-04-27
19,Printful,0.0,0.0,1.6061929090069338e-59,0.0,0.0001624255549540131,$1.00 ,2021/5/24,United States,Other,['Bregal Sagemount'],1.0,2021-05-24
20,iCarbonX,0.006006006006006006,0.0,0.0011102276131854446,0.28181050189447665,0.00042274881018924775,$1.00 ,2016/4/12,China,Artificial intelligence,"['Tencent', ' Vcanbio']",1.0,2016-04-12
21,EcoFlow,0.04504504504504504,0.0,0.008318119533042904,0.32371961994148485,0.0013476070242681674,$1.00 ,2021/6/10,China,Hardware,"['Delian Capital', ' China International Capital Corporation', ' Sequoia Capital China']",1.0,2021-06-10
22,Banma Network Technologies,0.002002002002002002,0.0,7.93278246181925e-05,0.23277873248971515,0.0003432445433597976,$1.00 ,2018/9/13,China,Auto & transportation,"['Yunfeng Capital', ' SDIC Innovation Investment Management', ' Shang Qi Capital']",1.0,2018-09-13
23,SafetyCulture,0.04804804804804805,0.00035855696978908427,0.046553083180421555,0.3692867558067008,0.0013384320093071365,$1.60 ,2021/5/3,Australia,Internet software & services,"['Blackbird Ventures', ' IndexVentures', ' Tiger Global Management']",1.6,2021-05-03
