,source,target
2211,Innovation Endeavors,Temasek
2212,Innovation Endeavors,Venrock
2213,North Bridge Growth Equity,KKR
2214,Genesis Partners,Battery Ventures
2215,Goldstone Investments,CDH Investments
2216,Goldstone Investments,Qiming Venture Partners
2217,BlueRun Ventures,Meituan Dianping
2218,Lightbank,T. Rowe Associates
2219,Longfor Capitalm,Gaorong Capital
2220,Alibaba Group,Buhuo Venture Capital
2221,Alibaba Group,Ping An Insurance
2222,Alibaba Group,Draper Fisher Jurtson
2223,Alibaba Group,SDP Investment
2224,Alibaba Group,Borui Capital
2225,Alibaba Group,Blackrock
2226,Alibaba Group,Yinxinggu Capital
2227,Alibaba Group,KKR
2228,Boxin Capital,IDG Capital
2229,Greycroft,Paladin Capital Group
2230,Greycroft,Scale Venture Partners
2231,Greycroft,Sands Capital
2232,Greycroft,Revolution Growth
2233,Greycroft,Loeb.NYC
2234,Greycroft,Accel
2235,Greycroft,Advancit Capital
2236,Greycroft,DST Global
2237,enaya Capital,Bain Capital Ventures
2238,Liberty City Ventures,Soros Fund Management
2239,Liberty City Ventures,RRE Ventures
2240,Gobi Partners,Ondine Capital
2241,Redalpine Venture Partners,Valar Ventures
2242,Redalpine Venture Partners,468 Capital
2243,OMERS Ventures,Seedcamp
2244,OMERS Ventures,Newion Partners
2245,OMERS Ventures,Capital One Growth Ventures
2246,Xiaomi,FutureX Capital
2247,Xiaomi,Northern Light Venture Capital
2248,83North,Elaia Partners
2249,83North,Cherry Ventures
2250,83North,Accel
2251,GP Capital,Zheshang Venture Capital
2252,Energy Impact Partners,AllegisCyber Capital
2253,Access Industries,Vostok New Ventures
2254,Access Industries,Orange Digital Ventures
2255,RedBird Capital Partners,CJ ENM
2256,Chiratae Ventures,Accel
2257,Chiratae Ventures,SoftBank Group
2258,Maverick Capital,SoftBank Group
2259,Delphi Automotive,Motus Ventures
2260,Alumni Ventures Group,Javelin Venture Partners
2261,Danone Manifesto Ventures,1955 Capital
2262,Danone Manifesto Ventures,Breakthrough Energy Ventures
2263,Javelin Venture Partners,TTV Capital
2264,Foxconn Technology Company,Russia-China Investment Fund
2265,China Environmental Protection Industry,China Fortune Ocean
2266,Connect Ventures,Softbank Group
2267,JBV Capital,Fifth Wall Ventures
2268,Coinbase Ventures,PayPal Ventures
2269,Coinbase Ventures,Third Point
2270,Times Internet,SoftBank Group
2271,Eurazeo,Daphni
2272,Walden Venture Capital,Global Catalyst Partnera
2273,Blue Lake Capital,ZhenFund
2274,Japan Post Capital,Atomico
2275,GoldenTree Asset Management,Accomplice
2276,Battery Ventures,Sapphire Ventures
2277,Battery Ventures,Bessemer Venture Partners
2278,Battery Ventures,Storm Ventures
2279,Battery Ventures,Venrock
2280,Battery Ventures,DST Global
2281,Battery Ventures,Scale Venture Partners
2282,Battery Ventures,Google Ventures
2283,Storm Ventures,DJF
2284,Storm Ventures,Alven Capital
2285,Storm Ventures,Accel
2286,Valor Equity Partners,Breakthrough Energy Ventures
2287,Sozo Ventures,Caffeinated Capital
2288,LeapFrog Investments,Accel
2289,GLP Capital Partners,8VC
2290,GLP Capital Partners,Google Ventures
2291,Funa Yuanchuang Technology,Shanghai Puyin Industry
2292,Signal Peak Ventures,Owl Ventures
2293,Lightrock,Softbank Group
2294,Paladin Capital Group,Scale Venture Partners
2295,China Construction Bank,Bank of China
2296,D1 Capital Partners,TDK Ventures
2297,D1 Capital Partners,Sway Ventures
2298,D1 Capital Partners,Webb Investment Network
2299,D1 Capital Partners,Bessemer Venture Partners
2300,D1 Capital Partners,Stripe_
2301,D1 Capital Partners,Social Capital
2302,D1 Capital Partners,8VC
2303,Social Capital,TDK Ventures
2304,Social Capital,Bessemer Venture Partners
2305,Social Capital,Accel
2306,Wakefield Group,Google Ventures
2307,Silk Road Huacheng,China Grand Prosperity Investment
2308,8VC,Data Collective
2309,8VC,Sway Ventures
2310,8VC,Chicago Ventures
2311,General Catalyst Partners,Data Collective
2312,General Catalyst Partners,Google Ventures
2313,Group11,Chicago Ventures
2314,GF Xinde Investment Management Co.,V Star Capital
2315,Draft Ventures,Felicis Ventures
2316,Breakthrough Energy Ventures,1955 Capital
2317,Linear Venture,IDG Capital
2318,Linear Venture,Hearst Ventures
2319,Accel,BOLDstart Ventures
2320,Accel,Sands Capital
2321,Accel,Slack Fund
2322,Accel,Kima Ventures
2323,Accel,Silverton Partners
2324,Accel,Venture Highway
2325,Accel,International Finance Corporation
2326,Accel,CRV
2327,Accel,Falcon Edge Capital
2328,Accel,Advancit Capital
2329,Accel,Summit Partners
2330,Accel,Amasia
2331,Accel,Alven Capital
2332,Accel,Elaia Partners
2333,Accel,Anthos Capital
2334,Accel,Kerala Ventures
2335,Accel,Google Ventures
2336,Accel,Softbank Group
2337,Accel,Atomico
2338,Accel,Bain Capital Ventures
2339,Accel,SoftBank Group
2340,Ventura Capital,dmg ventures
2341,We Capital,China Culture Industrial Investment Fund
2342,Temasek,Google Ventures
2343,Temasek,Thrive Capital
2344,Temasek,PayPal Ventures
2345,CRV,Caffeinated Capital
2346,CRV,Tiger Global management
2347,CRV,Google Ventures
2348,CRV,Thrive Capital
2349,CRV,SoftBank Group
2350,PayPal Ventures,GreatPoint Ventures
2351,Tengelmann Ventures,BlackRock
2352,Woori Investment,Hanwha Investment & Securities
2353,CDH Investments,Qiming Venture Partners
2354,Blackrock,Google Ventures
2355,Blackrock,World Lab Innovation
2356,Hellman & Friedman,JMI Equity
2357,Dell Technologies Capital,Bain Capital Ventures
