,source,target
235,Bolt Ventures,Not Boring Capital
236,Bolt Ventures,SC.Holdings
237,Index Ventures,Bezos Expeditions
238,Index Ventures,Draft Ventures
239,Index Ventures,Technology Crossover Ventures
240,Index Ventures,Blackbird Ventures
241,Index Ventures,Eight Roads Ventures
242,Index Ventures,Airbus Ventures
243,Index Ventures,Inova Ventures Participacees
244,Index Ventures,Partech Partners
245,Index Ventures,Accel
246,Index Ventures,Insight Partners
247,Index Ventures,IDInvest Partners
248,Index Ventures,Felicis Ventures
249,Index Ventures,Temasek
250,Index Ventures,CRV
251,Index Ventures,Makers Fund
252,Index Ventures,New Enterprise Associates
253,Index Ventures,General Catalyst
254,Index Ventures,Founders Fund
255,Index Ventures,Marchmont Ventures
256,Index Ventures,Insight Venture Partners
257,Index Ventures,Benchmark
258,Index Ventures,Nyca Partners
259,Index Ventures,Andreessen Horowitz
260,Index Ventures,Greylock Partners
261,Index Ventures,Portag3 Ventures
262,Index Ventures,Y Combinator
263,Index Ventures,Daphni
264,Index Ventures,Quadrille Capital
265,Index Ventures,Bessemer Venture Partners
266,Index Ventures,First Round Capital
267,Index Ventures,Sequoia Capital
268,Index Ventures,Battery Ventures
269,Index Ventures,Blue Cloud Ventures
270,Index Ventures,Accel Partners
271,Index Ventures,Kleiner Perkins Caufield & Byers
272,Index Ventures,Scale Venture Partners
273,Index Ventures,Google Ventures
274,Index Ventures,Thrive Capital
275,Index Ventures,BMW i Ventures
276,Index Ventures,Creandum
277,Index Ventures,Bain Capital Ventures
278,Index Ventures,ICONIQ Capital
279,Index Ventures,Advent International
280,Index Ventures,General Atlantic
281,Index Ventures,Coatue Management
282,FreesFund,GSR Ventures
283,FreesFund,GGV Capital
284,SEB Venture Capital,British Patient Capital
285,SEB Venture Capital,IQ Capital
286,Electric Capital,Coinbase Ventures
287,Electric Capital,Third Point
288,Lindeman Asia Investment,Nichi-Iko Pharmaceutical
289,Astanor Ventures,IDInvest Partners
290,Astanor Ventures,Upfront Ventures
291,Anthemis,Connect Ventures
292,Providence Ventures,Greylock Partners
293,Providence Ventures,Venrock
294,Madrone Capital Partners,Jackson Square Ventures
295,Madrone Capital Partners,Sequoia Capital
296,Moonshots Capital,Blu Venture Investors
297,Moonshots Capital,BoxGroup
298,Samsung Ventures,Qualcomm Ventures
299,Samsung Ventures,SingulariTeam
300,Samsung Ventures,BP Ventures
301,Samsung Ventures,Silver Lake
302,Samsung Ventures,Motus Ventures
303,Samsung Ventures,Delphi Automotive
304,Founders,Creandum
305,Founders,Kinnevik
306,Lead Edge Capital,Coatue Management
307,Lead Edge Capital,Lightspeed Venture Partners
308,Maveron,NewView Capital
309,Maveron,Ridge Ventures
310,Maveron,Johnson & Johnson Innovation
311,Globis Capital Partners,Japan Post Capital
312,Globis Capital Partners,Atomico
313,TQ Ventures,Andreessen Horowitz
314,Runa Capital,Point Nine Capital
315,Runa Capital,Acton Capital Partners
316,TowerBrook Capital Partners,KKR
317,SCB 10X,eWTP Capital
318,SCB 10X,Krungsri Finnovate
319,Alpargatas,GS Growth
320,Alpargatas,Lightspeed Venture Partners
321,Founders Fund,Upfront Ventures
322,Founders Fund,Goldman Sachs
323,Founders Fund,Quantum Energy Partners
324,Founders Fund,Green Innovations
325,Founders Fund,Revolution Ventures
326,Founders Fund,Bedrock Capital
327,Founders Fund,Stripe_
328,Founders Fund,Partech Partners
329,Founders Fund,Cocnord Health Partners
330,Founders Fund,Dynamo VC
331,Founders Fund,Bling Capital
332,Founders Fund,New Enterprise Associates
333,Founders Fund,Khosla Ventures
334,Founders Fund,Andreessen Horowitz
335,Founders Fund,First Round Capital
336,Founders Fund,01 Advisors
337,Founders Fund,Sequoia Capital
338,Founders Fund,Kleiner Perkins Caufield & Byers
339,Founders Fund,Afore Capital
340,Founders Fund,Google Ventures
341,Founders Fund,Thrive Capital
342,Founders Fund,Floodgate
343,Founders Fund,Susa Ventures
344,Founders Fund,Bloomberg Beta
345,Founders Fund,Goodwater Capital
346,Founders Fund,Rothenberg Ventures
347,Founders Fund,Draper Fisher Jurvetson
348,Founders Fund,Coatue Management
349,Uniion Square Ventures,Tiger Global Management
350,Uniion Square Ventures,Lightspeed Venture Capital
351,Lightspeed Venture Capital,Tiger Global Management
352,Sofinnova Partners,Summit Partners
353,Sofinnova Partners,Noshaq
354,Bitmain Technologies_,IDG Capital
355,IMM Investment,NXC
356,Blue Label Telecoms,Net1 UEPS Technologies
357,Summerhill Venture Partners,Union Square Ventures
358,Summerhill Venture Partners,Mithril Capital Management
359,Wavemaker Partners,Anthem Venture Partners
360,Wavemaker Partners,Simon Equity Partners
361,Struck Capital,Javelin Venture Partners
362,Struck Capital,Alumni Ventures Group
363,Formation 8,General Catalyst Partners
364,Formation 8,Data Collective
365,Formation 8,Ignition Partners
366,Formation 8,CRV
367,Array Ventures,JBV Capital
368,Array Ventures,Fifth Wall Ventures
369,Y Combinator,Caffeinated Capital
370,Y Combinator,Accel
371,Y Combinator,Matrix Partners
372,Y Combinator,CRV
373,Y Combinator,Benchmark
374,Y Combinator,Khosla Ventures
375,Y Combinator,Andreessen Horowitz
376,Y Combinator,Amasia
377,Y Combinator,Greylock Partners
378,Y Combinator,WRVI Capital
379,Y Combinator,Tiger Global Management
380,Y Combinator,SEEK
381,Y Combinator,Spark Capital
382,Y Combinator,Sequoia Capital
383,Y Combinator,T. Rowe Price
384,Y Combinator,M12
385,Y Combinator,Kleiner Perkins Caufield & Byers
386,Y Combinator,F-Prime Capital
387,Y Combinator,Thrive Capital
388,Y Combinator,Atomico
389,Y Combinator,Wonder Ventures
390,Y Combinator,capitalG
391,Y Combinator,Coatue Management
392,York Capital Management,GE Healthcare
393,York Capital Management,Koch Disruptive Technologies
394,Felix Capital,Elaia Partners
395,Felix Capital,83North
396,Felix Capital,Cherry Ventures
397,Felix Capital,Kinnevik
398,Felix Capital,LocalGlobe
399,Refactor Capital,Andreessen Horowitz
400,Refactor Capital,Temasek
401,Refactor Capital,Fifty Years Fund
402,Shunwei Capital Partners,Xiang He Capital
403,Shunwei Capital Partners,Sequoia Capital China
404,Shunwei Capital Partners,Ventech China
405,Shunwei Capital Partners,Matrix Partners China
406,Shunwei Capital Partners,MindWorks Ventures
407,Shunwei Capital Partners,New Horizon Capital
408,Shunwei Capital Partners,Qualgro
409,Shunwei Capital Partners,Addor Capital
410,Shunwei Capital Partners,China Media Group
411,Shunwei Capital Partners,Tiger Global Management
412,Shunwei Capital Partners,5Y Capital
413,Shunwei Capital Partners,Guangzhou Huiyin Aofeng Equity Investment Fund
414,Shunwei Capital Partners,Legend Capital
415,Ainge Advisory,Carlson Private Capital Partners
416,Ainge Advisory,Knox Lane
417,SoftBank Group. Monashees+,Qualcomm Ventures
418,Baidu Capital,Tencent
419,Baidu Capital,Linear Venture
420,Expedia Inc.,Global Founders Capital
421,Expedia Inc.,East Ventures
422,Temasek Holdings,Andreessen Horowitz
423,Temasek Holdings,Silverlink Capital
424,Temasek Holdings,Khosla Ventures
425,Temasek Holdings,QiMing Venture Partners
426,Temasek Holdings,SoftBank Group
427,Simon Equity Partners,Anthem Venture Partners
428,Accelm Scania Growth Capital,Lakestar
429,China Broadband Capital,CDH Investments
430,China Broadband Capital,Qiming Venture Partners
431,True Ventures,Redpoint Ventures
432,True Ventures,Kleiner Perkins Caufield & Byers
433,True Ventures,Lightspeed Venture Partners
434,Richland Equities,Founder H Fund
435,Richland Equities,U.S.-China Green Fund
436,Far East Horizon,Qiming Venture Partners
437,Cybernaut Growth Fund,IDG Capital
438,SOFTBANK Latin America Ventures,Big Bets
439,SOFTBANK Latin America Ventures,General Atlantic
440,Human Capital,General Catalyst
441,Human Capital,Sequoia Capital
442,Wonder Ventures,Andreessen Horowitz
443,500 Startups,Bezos Expeditions
444,500 Startups,Ondine Capital
445,500 Startups,Gobi Partners
446,500 Startups,Deciens Capital
447,500 Startups,K2 Global
448,Breyer Capital,General Catalyst
449,Breyer Capital,Institutional Venture Partners
450,GS Growth,SoftBank Group
451,GS Growth,TA Associates
452,GS Growth,Goodwater Capital
453,GS Growth,Accel
454,GS Growth,Warburg Pincus
455,GS Growth,Lightspeed Venture Partners
456,Mubadala Capital,Target Global
457,Mubadala Capital,Prosus Ventures
458,Mubadala Capital,UBS Asset Management
459,Mubadala Capital,Bond
460,Apax Partners,TA Associates
461,Apax Partners,TPG Capital
462,Knox Lane,Carlson Private Capital Partners
463,Goodwater Capital,XVC Venture Capital
464,Goodwater Capital,Floodgate
465,Goodwater Capital,iFly
466,Goodwater Capital,Entree Capital
467,Goodwater Capital,Valar Ventures
468,Goodwater Capital,Warburg Pincus
469,First Ascent Ventures,Vista Equity Partners
470,First Ascent Ventures,Warburg Pincus
471,Dragoneer Investment Group,Franklin Templeton
472,Dragoneer Investment Group,JMI Equity
473,Dragoneer Investment Group,T. Rowe Price
474,Dragoneer Investment Group,Hellman & Friedman
475,Dragoneer Investment Group,BlackRock
476,Dragoneer Investment Group,DST Global
477,Capricorn Investment Group,Valor Equity Partners
478,Capricorn Investment Group,Breakthrough Energy Ventures
479,Highland Capital Partners,Madrona Venture Group
480,Highland Capital Partners,Next Coast Ventures
481,Highland Capital Partners,SoGal Ventures
482,Highland Capital Partners,The Carlyle Group
483,Highland Capital Partners,Oak HC/FT Partners
484,Highland Capital Partners,RRE Ventures+
485,Highland Capital Partners,Emergence Capital Partners
486,Highland Capital Partners,Kleiner Perkins Caufield & Byers
487,FinVC,MaC Venture Capital
488,FinVC,next47
489,Phoenix New Media,Tianjin Haihe Industry Fund
490,Galaxy Digital,Georgian Co-Investment Fund
491,Galaxy Digital,iTech Capital
492,Female Founders Fund,Sequoia Capital
493,Female Founders Fund,Oak HC/FT Partners
494,Gopher Asset Management,Shanghai Electric Group
495,Gopher Asset Management,Sequoia Capital China
496,Coatue Management,Tenaya Capital
497,Coatue Management,DFJ Growth Fund
498,Coatue Management,Schonfeld Strategic Advisors
499,Coatue Management,Stripe_
500,Coatue Management,H Capital
501,Coatue Management,Insight Partners
502,Coatue Management,DCM Ventures
503,Coatue Management,IDG Capital
504,Coatue Management,DN Capital
505,Coatue Management,BMO Capital
506,Coatue Management,Lightbox Ventures
507,Coatue Management,New Enterprise Associates
508,Coatue Management,General Catalyst
509,Coatue Management,Addition
510,Coatue Management,Andreessen Horowitz
511,Coatue Management,Sequoia Capital India
512,Coatue Management,Dragonfly Capital Partners
513,Coatue Management,Bessemer Venture Partners
514,Coatue Management,Tiger Global Management
515,Coatue Management,Capital Today
516,Coatue Management,Clocktower Technology Ventures
517,Coatue Management,Sequoia Capital
518,Coatue Management,Source Code Capital
519,Coatue Management,Atlantic Food Labs
520,Coatue Management,DST Global
521,Coatue Management,Lightspeed Venture Partners
522,Coatue Management,Left Lane Capital
523,Coatue Management,Sequoia Capital China
524,Coatue Management,Thrive Capital
525,Coatue Management,Atomico
526,Coatue Management,Stripes Group
527,Coatue Management,Sutter Hill Ventures
528,Coatue Management,D1 Capital Partners
529,Coatue Management,Liberty Global Ventures
530,Bond,Tribe Capital
531,Bond,Scale Venture Partners
532,Bond,Prosus Ventures
533,Bond,New Enterprise Associates
534,Bond,Tiger Global Management
535,Bond,Playground Global
536,Bond,Accel
537,Nordstar,BECO Capital
538,Nordstar,CE-Ventures
539,Nintendo,Pokemon Company International
540,Nintendo,Spark Capital
541,Nintendo,Google
542,Alpha Wave Global,Matrix Partners India
543,Alpha Wave Global,Tiger Global Management
544,Greenoaks Capital Management,Jackson Square Ventures
545,Greenoaks Capital Management,Softbank Group
546,Greenoaks Capital Management,D1 Capita Partners
547,Greenoaks Capital Management,Ribbit Capital
548,Greenoaks Capital Management,Accel
549,Greenoaks Capital Management,DST Global
550,Georgian Partners,Presidio Ventures
551,Georgian Partners,Norwest Venture Partners
552,Georgian Partners,Oak Investment Partners
553,Georgian Partners,Craft Ventures
554,Georgian Partners,Ignition Partners
555,Georgian Partners,Silver Lake
556,Georgian Partners,FirstMark Capital
557,Georgian Partners,Accomplice
558,Georgian Partners,Insight Partners
559,DFJ Growth Fund,Addition
560,DFJ Growth Fund,Foundry Group
561,DFJ Growth Fund,Pitango Venture Capital
562,Quantum Energy Partners,Bedrock Capital
563,Honeywell,Trane Technologies
564,Citi Ventures,Susquehanna Growth Equity
565,Citi Ventures,OMERS Ventures
566,Citi Ventures,ICONIQ Capital
567,Citi Ventures,Menlo Ventures
568,Citi Ventures,Eurazeo
569,Citi Ventures,Wellington Management
570,Citi Ventures,Alkeon Capital Management
571,Citi Ventures,Capital One Growth Ventures
572,.406 Ventures,Crosslink Capital
573,.406 Ventures,Sapphire Ventures
574,SoftBankGroup,Blackrock
575,SoftBankGroup,Alibaba Group
576,Jump Capital,Left Lane Capital
577,Jump Capital,Andreessen Horowitz
578,Jump Capital,Signal Peak Ventures
579,Jump Capital,Paradigm
580,Jump Capital,Owl Ventures
581,Jump Capital,Coinbase Ventures
582,Jump Capital,Tiger Global Management
583,Jump Capital,Clocktower Technology Ventures
584,Jump Capital,Polychain Capital
585,Jump Capital,Insight Partners
586,Rho Ventures,Matrix Partners
587,Rho Ventures,Passport Capital
588,Qualgro,Sequoia Capital China
589,China Capital Investment Group,Matrix Partners China
590,China Capital Investment Group,Xingwang Investment Management
591,European Founders Fund,Silicon Valley Bank
592,European Founders Fund,QED Investors
593,Matrix Partners,Andreessen Horowitz
594,Matrix Partners,Trinity Ventures
595,Matrix Partners,Sequoia Capital China
596,Matrix Partners,Bessemer Venture Partners
597,Matrix Partners,Verizon Ventures
598,Matrix Partners,Sutter Hill Ventures
599,Matrix Partners,Coatue Managemeny
600,Matrix Partners,Blackbird Ventures
601,Matrix Partners,General Catalyst
602,Matrix Partners,Benchmark
603,Matrix Partners,Passport Capital
604,Matrix Partners,Lightspeed Venture Partners
605,Rich Land Capital,Sequoia Capital China
606,Rich Land Capital,Merrysunny Wealth
607,Sixth Street Partners,OrbiMed Advisors
608,Sixth Street Partners,Highland Capital Management
609,Tencent,Tiger Global management
610,Tencent,Sequoia Capital India
611,Tencent,Morningside Group
612,Tencent,GGV Capital
613,Tencent,New Enterprise Associates
614,Tencent,Tiger Global Management
615,Tencent,Linear Venture
616,Tencent,ZhenFund
617,Tencent,Huasheng Capital
618,Tencent,Vcanbio
619,Tencent,Baidu
620,Artiman Ventures,Anthos Capital
621,Artiman Ventures,Plug and Play Ventures
622,Pitango Venture Capital,Qumra Capital
623,Pitango Venture Capital,Bessemer Venture Partners
624,Pitango Venture Capital,D1 Capital Partners
625,Pitango Venture Capital,83North
626,Pitango Venture Capital,Amadeus Capital Partners
627,Pitango Venture Capital,Foundry Group
628,Pitango Venture Capital,Magma Venture Partners
629,Pitango Venture Capital,Dell Technologies Capital
630,Pitango Venture Capital,RiverPark Ventures
631,HD Capital,Qihoo 360 Technology
632,HD Capital,China Fortune Land Development
633,IDInvest Partners,Qiming Venture Partners
634,IDInvest Partners,Upfront Ventures
635,IDInvest Partners,Daphni
636,IDInvest Partners,Eurazeo
637,IDInvest Partners,Atop Capital
638,SBI Investment,Vulcan Capital
639,SBI Investment,Trammell Ventures
640,SBI Investment,Yabeo Capital
641,Hyde Park Venture Partners,Pritzker Group Venture Capital
642,Hyde Park Venture Partners,FundersClub. Bain Capital Ventures
643,Hyde Park Venture Partners,Accel
644,Spectrum Equity,Meritech Capital Partners
645,Spectrum Equity,Tiger Global Management
646,Spectrum Equity,Grayhawk Capital
647,Spectrum Equity,ICONIQ Capital
648,Insight Venture Partners,Sound Ventures
649,Insight Venture Partners,ICONIQ Capital
650,Insight Venture Partners,Polaris Partners
651,Insight Venture Partners,Lowercase Capital
652,Insight Venture Partners,TPG Growth
653,Insight Venture Partners,Accel Partners
654,Addition,Accel
655,Addition,Benhcmark
656,Tomales Bay Capital,General Catalyst
657,Tomales Bay Capital,Bain & Company
658,Tru Arrow Partners,Left Lane Capital
659,Tru Arrow Partners,Galaxy Interactive
660,MenloVentures,Benchmark
661,MenloVentures,Thrive Capital
662,Xiang He Capital,MindWorks Ventures
663,Xiang He Capital,Sequoia Capital China
664,Xiang He Capital,GGV Capital
665,Clermont Group,Coltrane Asset Management
666,Clermont Group,Toscafund Asset Management
667,JTC Group,Fidelity Investment
668,Blu Venture Investors,BoxGroup
669,Promecap,Goldman Sachs
670,Promecap,Leonardo DiCaprio
671,Volkswagen,Access Industries
672,Volkswagen,Vostok New Ventures
673,China Everbright Investment Management,Yinxinggu Capital
674,China Everbright Investment Management,Alibaba Group
675,Hillhouse Capital Management,Qualcomm Ventures
676,Hillhouse Capital Management,XVC Venture Capital
677,Hillhouse Capital Management,Sequoia Capital China
678,Hillhouse Capital Management,Sequoia Capital India
679,Hillhouse Capital Management,Sunley House Capital Management
680,Hillhouse Capital Management,Nine Intelligence Capital
681,Hillhouse Capital Management,Source Code Capital
682,Hillhouse Capital Management,Linear Venture
683,Hillhouse Capital Management,Morningside Venture Capital
684,Hillhouse Capital Management,Tencent Holdings
685,Redpoint Ventures,Providence Equity Partners
686,Redpoint Ventures,YL Ventures
687,Redpoint Ventures,Sequoia Capital China
688,Redpoint Ventures,Chengwei Capital
689,Redpoint Ventures,Thrive Capital
690,Redpoint Ventures,Norwest Venture Partners
691,Redpoint Ventures,Silversmith Capital Partners
692,Redpoint Ventures,Maverick Ventures
693,Redpoint Ventures,Viking Global Investors
694,Redpoint Ventures,GGV Capital
695,Redpoint Ventures,Sina Weibo
696,Redpoint Ventures,Goldcrest Capital
697,Redpoint Ventures,QiMing Venture Partners
698,Redpoint Ventures,Storm Ventures
699,Redpoint Ventures,Battery Ventures
700,Redpoint Ventures,Insight Partners
701,Redpoint Ventures,Kleiner Perkins Caufield & Byers
702,Redpoint Ventures,Lightspeed Venture Partners
703,Hanaco Venture Capital,WestCap Group
704,Hanaco Venture Capital,Atomico
705,Hanaco Venture Capital,TriplePoint Capital
706,Hanaco Venture Capital,Invus Group
707,SEED Capital,Socii Capital
708,SEED Capital,Greyhound Capital
709,Madera Technology Partners,Madrona Venture Group
710,Madera Technology Partners,Tiger Global Management
711,Lowercase Capital,Polaris Partners
712,Lowercase Capital,Accel Partners
713,Lowercase Capital,Greylock Partners
714,Investment Corporation of Dubai,Centralway
715,Investment Corporation of Dubai,Flagship Pioneering
716,Investment Corporation of Dubai,Alexandria Venture Investments
717,Softbank Capital,Info Edge
718,T. Rowe Price,Viking Global Investors
719,T. Rowe Price,Technology Crossover Ventures
720,T. Rowe Price,Fidelity Investment
721,T. Rowe Price,General Catalyst
722,T. Rowe Price,Accel
723,T. Rowe Price,BlackRock
724,T. Rowe Price,OMERS Private Equity
725,T. Rowe Price,Lockheed Martin Ventures
726,Partners Investment,SBI Investment Korea
727,Partners Investment,GIC
728,Kickstart Fund,General Catalyst
729,Kickstart Fund,Drive Capital
730,Sherpalo Ventures,Softbank Corp.
731,Sherpalo Ventures,Kleiner Perkins Caufield & Byers
732,Gron Ventures,Casa Verde Capital
733,Hummingbird Ventures,Sequoia Capital India
734,Hummingbird Ventures,Epiq Capital
735,Starr Investment Holdings,New Enterprise Associates
736,World Innovation Lab,Light Street Capital
737,World Innovation Lab,BEENEXT
738,The Times Group,Sequoia Capital India
739,The Times Group,GMO VenturePartners
740,Casdin Capital,Google Ventures
741,Casdin Capital,Nextech Invest
742,ICONIQ Capital,Susquehanna Growth Equity
743,ICONIQ Capital,Grayhawk Capital
744,ICONIQ Capital,Bessemer Venture Partners
745,ICONIQ Capital,GGV Capital
746,ICONIQ Capital,Tiger Global Management
747,ICONIQ Capital,Silver Lake
748,ICONIQ Capital,Battery Ventures
749,ICONIQ Capital,FirstMark Capital
750,ICONIQ Capital,Lightspeed Venture Partners
751,NewView Capital,Ridge Ventures
752,QiMing Venture Partners,Chengwei Capital
753,QiMing Venture Partners,Silverlink Capital
754,DataTribe,Energy Impact Partners
755,DataTribe,AllegisCyber Capital
756,Bain & Company,General Catalyst
757,Advent International,Providence Equity Partners
758,Advent International,Silversmith Capital Partners
759,Advent International,SoftBank Latin America Fund
760,Advent International,Sequoia Capital Israel
761,Advent International,Bain Capital Ventures
762,Advent International,PSG
763,Advent International,Airbus Ventures
764,Advent International,Battery Ventures
765,Advent International,Upper90
766,Advent International,RiverPark Ventures
767,Morningside Venture Capital,DCM Ventures
768,Morningside Venture Capital,IDG Capital
769,Morningside Venture Capital,GGV Capital
770,Morningside Venture Capital,Bertelsmann Asia Investments
771,Morningside Venture Capital,Linear Venture
772,HV Capital,BlackRock
773,HV Capital,Softbank Group
774,capitalG,Greylock Partners
775,capitalG,Silversmith Capital Partners
776,capitalG,LowercaseCapital
777,capitalG,Softbank Group
778,capitalG,Alven Capital
779,capitalG,Ribbit Capital
780,capitalG,FirstMark Capital
781,capitalG,Accel
782,capitalG,Blackrock
783,capitalG,World Lab Innovation
784,capitalG,Khosla Ventures
785,Revolution,Caterpillar
786,Revolution,New Enterprise Associates
787,Adams Street Partners,Summit Partners
788,Ten Eleven Ventures,KKR
789,Ten Eleven Ventures,FTV Capital
790,Western Capital Management,GP Capital
791,Western Capital Management,Zheshang Venture Capital
792,YL Ventures,GGV Capital
793,Goldman Sachs Asset Management,3L
794,Goldman Sachs Asset Management,Alibaba Group
795,Goldman Sachs Asset Management,SDP Investment
796,Brighton Park Capital,Workday Ventures
797,Brighton Park Capital,Blue Cloud Ventures
798,Vattenfall,Goldman Sachs
799,Vattenfall,Volkswagen Group
800,Steadview Capital,Kaalari Capital
801,Steadview Capital,Tencent Holdings
802,Rethink Impact,RRE Ventures
803,Rethink Impact,Work-Bench
804,Galeo Ventures,Highland Europe
805,Galeo Ventures,Auriga
806,R-Z Capital,Green Pine Capital Partners
807,R-Z Capital,SAIF Partners China
808,Menlo Ventures,Andreessen Horowitz
809,Menlo Ventures,K9 Ventures
810,Menlo Ventures,Flybridge Capital Partners
811,Menlo Ventures,Resolute Ventures
812,Menlo Ventures,Zeev Ventures
813,Menlo Ventures,Bessemer Venture Partners
814,Menlo Ventures,IA Ventures
815,Menlo Ventures,GGV Capital
816,Menlo Ventures,Crosslink Capital
817,Menlo Ventures,Anthermis
818,Menlo Ventures,GreatPoint Ventures
819,Menlo Ventures,Tiger Global Management
820,Menlo Ventures,Union Square Ventures
821,Menlo Ventures,Spark Capital
822,Menlo Ventures,Alkeon Capital Management
823,Menlo Ventures,8VC
824,Operator Collective,Caffeinated Capital
825,Operator Collective,Craft Ventures
826,Burda Principal Investments,Insight Partners
827,Burda Principal Investments,Accel
828,Eight Roads Ventures,Creandum
829,Eight Roads Ventures,Bessemer Venture Partners
830,Eight Roads Ventures,Ignition Partners
831,Eight Roads Ventures,Greycroft
832,Eight Roads Ventures,Battery Ventures
833,Eight Roads Ventures,General Atlantic
834,Eight Roads Ventures,One Peak Partners
835,NFX,Mayfield
836,NFX,Plum Alley
837,Nortzone Ventures,Global Founders Capital
838,Nortzone Ventures,Picus Capital
839,Maersk Growth,BlackRock
840,Maersk Growth,Chromo Invest
841,TMT Investments,Diamler
842,TMT Investments,Didi Chuxing
843,Cox Enterprises,OMERS Ventures
844,Cox Enterprises,American Family Ventures
845,China Everbright Limited,IDG Capital
846,China Everbright Limited,iFLYTEK
847,MaC Venture Capital,next47
848,Grab,Tokopedia
849,Grab,Tokyo Century Corporation
850,Hopu Investment Management,Dark Horse Technology Group
851,Hopu Investment Management,Kefa Capital
852,Jackson Square Ventures,Softbank Group
853,Jackson Square Ventures,Sequoia Capital
854,Jackson Square Ventures,Insight Partners
855,Jackson Square Ventures,Liberty Gloval Ventures
856,Jackson Square Ventures,General Atlantic
857,Jackson Square Ventures,Lightspeed Venture Partners
858,Streamlined Ventures,GSR Ventures
859,Streamlined Ventures,Sapphire Ventures
860,Telling Telecommunication Holding Co.,Alibaba Group
861,Two Sigma Ventures,NextView Ventures
862,Two Sigma Ventures,Flint Capital
863,Two Sigma Ventures,Commerce Ventures
864,Two Sigma Ventures,Promus Ventures
865,Two Sigma Ventures,Bonfire Ventures
866,Two Sigma Ventures,FJ Labs
867,Light Street Capital,BEENEXT
868,Monashees+,Andreessen Horowitz
869,Monashees+,Flybridge Capital Partners
870,Monashees+,Soros Fund Management
871,Monashees+,QED Investors
872,Monashees+,Ribbit Capital
873,Monashees+,General Catalyst
874,Monashees+,SoftBank Group
875,Monashees+,DST Global
876,Tiantu Capital Co.,Advantech Capital
877,Comcast Ventures,New Enterprise Associates
878,Comcast Ventures,Global Founders Capital
879,Comcast Ventures,Sequoia Capital
880,Comcast Ventures,General Atlantic
881,Comcast Ventures,Accel Partners
882,Comcast Ventures,Insight Partners
883,Comcast Ventures,Kleiner Perkins Caufield & Byers
884,Lightspeed China Partners,K2VC
885,Lightspeed China Partners,Baidu Ventures
886,Lightspeed China Partners,Qiming Venture Partners
887,Lightspeed China Partners,Sky9 Capital
888,Songhyun Investment,Bain Capital
889,Songhyun Investment,Altos Ventures
890,PremjiInvest,Chiratae Ventures
891,PremjiInvest,Softbank
892,NightDragon Security,Kleiner Perkins Caufield & Byers
893,NightDragon Security,Venrock
894,Lightbox Ventures,Sequoia Capital India
895,Oak HC/FT Partners,GF Investments
896,Oak HC/FT Partners,WestCap Group
897,Oak HC/FT Partners,Harvey Golub Family Office
898,Oak HC/FT Partners,Emergence Capital Partners
899,Oak HC/FT Partners,Sequoia Capital
900,Highland Europe,Canaan Partners
901,Highland Europe,Sunstone Capital
902,Highland Europe,Auriga
903,Highland Europe,Eurazeo
904,Highland Europe,Spark Capital
905,Jungle Ventures,Venture Highway
906,Jungle Ventures,Accel
907,Gaopeng Capital,China Reform Fund
908,Gaopeng Capital,Jinhui Xingye
909,Davidson Kempner Capital Management,BDT Capital Partners
910,Davidson Kempner Capital Management,New Enterprise Associates
911,Section 32,Andreessen Horowitz
912,Section 32,Google Ventures
913,3L,Framework Ventures
914,3L,Dila Capital
915,and Sequoia Capital China,China Health Industry Investment Fund
916,SIG Asia Investments,Sequoia Capital China
917,SIG Asia Investments,Softbank Group
918,SIG Asia Investments,China State Capital Venture Capital Fund
919,SIG Asia Investments,Sina Weibo
920,SIG Asia Investments,ZhenFund
921,SIG Asia Investments,Geely
922,Ireland Strategic Investment Fund,TPG Alternative & Renewable Technologies
923,Ireland Strategic Investment Fund,Insight Partners
924,Nyca Partners,Technology Crossover Ventures
925,Deer Park Road,Eldridge
926,Deer Park Road,Altamont Capital Partners
927,Cobalt Capital,Andreessen Horowitz
928,Cobalt Capital,Accel
929,MoreVC,Bessemer Venture Partners
930,MoreVC,Team8
931,Fashion Tech Lab,Vast Ventures
932,Fashion Tech Lab,Fidelity Investments
933,Portag3 Ventures,Temasek
934,Longzhu Capital,Capital Today
935,Longzhu Capital,Eastern Bell Capital
936,Aglae Ventures,Alven Capital
937,Aglae Ventures,Global Founders Capital
938,Aglae Ventures,Daphni
939,Aglae Ventures,Eurazeo
940,Mayfield Fund,Trinity Ventures
941,Mayfield Fund,L Catterton
942,Mayfield Fund,NextView Ventures
943,Mayfield Fund,MHS Capital
944,Mayfield Fund,Shasta Ventures
945,Mayfield Fund,M12
946,Mayfield Fund,Insight Partners
947,Escala Capital,Cambridge Innovation Capital
948,Escala Capital,LGT Capital Partners
949,CRE Venture Capital,Spark Capital
950,CRE Venture Capital,Google Ventures
951,CRE Venture Capital,Green Visor Capital
952,CRE Venture Capital,Greycroft
953,Doha Venture Capital,March Capital Partners
954,Doha Venture Capital,Temasek
955,Resolute Ventures,IA Ventures
956,Kefa Capital,Dark Horse Technology Group
957,WRVI Capital,Caffeinated Capital
958,Delian Capital,China International Capital Corporation
959,Delian Capital,Sequoia Capital China
960,TI Platform Management,Sound Ventures
961,Doqling Capital Partners,Activant Capital
962,Meritech Capital Partners,Greylock Partners
963,Meritech Capital Partners,PayPal Ventures
964,Meritech Capital Partners,GreatPoint Ventures
