,Company,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank,Valuation ($B) ,Date Added,Country,Category,Select Investors,Valuation($B) flaot,DateTime Joined
100,CoinList,0.005005005005005005,7.788338808032223e-05,0.00031189304898715097,0.26555041688572845,0.000391205952259794,$1.50 ,2021/10/15,United States,Fintech,"['Accomplice', ' Polychain Capital', ' GoldenTree Asset Management']",1.5,2021-10-15
101,Deel,0.06306306306306306,0.002795566674853169,0.03976188351876228,0.3709877542212871,0.0017977427075988564,$5.50 ,2021/4/21,United States,Fintech,"['Andreessen Horowitz', ' Spark Capital', ' Y Combinator']",5.5,2021-04-21
102,SoundHound,0.028028028028028028,0.0004772252311518295,0.004361415948906591,0.31061103525430556,0.0009825524406872597,$2.10 ,2018/5/3,United States,Artificial intelligence,"['Tencent Holdings', ' Walden Venture Capital', ' Global Catalyst Partnera']",2.1,2018-05-03
103,ManoMano,0.028028028028028028,0.0002332921268198513,0.00575867755642549,0.32294082374274835,0.0009627263102849361,$2.60 ,2021/7/5,France,E-commerce & direct-to-consumer,"['General Atlantic', ' Piton Capital', ' Partech Partners']",2.6,2021-07-05
104,Swiggy,0.012012012012012012,1.231249306146729e-07,0.00644791532651833,0.31073086975864755,0.0005160505602207982,$10.70 ,2018/6/21,India,"Supply chain, logistics, & delivery","['Accel India', ' SAIF Partners', ' Norwest Venture Partners']",10.7,2018-06-21
105,Wildlife Studios,0.029029029029029027,0.001180931470588474,0.009337649799244235,0.33812527893132427,0.0010268364115363889,$3.00 ,2019/12/5,Brazil,Other,"['Benchmark', ' Bessemer Venture Partners']",3.0,2019-12-05
106,Mammoth Biosciences,0.001001001001001001,0.0,0.0007182262023923251,0.2626065909404677,0.00018924756129656218,$1.00 ,2021/9/9,United States,Health,"['NFX', ' Plum Alley', ' Mayfield']",1.0,2021-09-09
107,Flipboard,0.062062062062062065,0.004389993149963826,0.03697766420230125,0.3859197002464851,0.0017825470368212737,$1.32 ,2015/7/22,United States,Internet software & services,"['Kleiner Perkins Caufield & Byers', ' Comcast Ventures', ' Insight Partners']",1.32,2015-07-22
108,Lunar,0.0,0.0,1.2111361960257657e-63,0.0,0.0001624255549540131,$1.00 ,2021/7/12,Denmark,Fintech,"['SEED Capital', ' Greyhound Capital', ' Socii Capital']",1.0,2021-07-12
109,United Imaging Healthcare,0.0,0.0,1.2111361960257657e-63,0.0,0.0001624255549540131,$5.00 ,2017/9/15,China,Health,"['China Life Insurance', ' China Development Bank Capital', ' CITIC Securities International']",5.0,2017-09-15
110,DailyPay,0.0,0.0,1.2111361960257657e-63,0.0,0.0001624255549540131,$1.20 ,2021/5/18,United States,Fintech,"['RPM Ventures', ' Inspiration Ventures', ' Carrick Capital Partners']",1.2,2021-05-18
111,Zihaiguo,0.011011011011011011,0.0005924989576940079,0.0007256317025140485,0.2632933685565264,0.0006815424201728057,$1.00 ,2021/5/6,China,Consumer & retail,"['Xingwang Investment Management', ' China Capital Investment Group', ' Matrix Partners China']",1.0,2021-05-06
112,Owkin,0.023023023023023025,8.294184279291317e-07,0.014058879555979504,0.32914361030421513,0.0007683902588582806,$1.00 ,2021/11/18,United States,Artificial intelligence,"['Google Ventures', ' Cathay Innovation', ' NJF Capital']",1.0,2021-11-18
113,Signifyd,0.011011011011011011,0.0001752074405271031,0.002686118698025116,0.30041567117285134,0.0005307374493129003,$1.34 ,2021/4/15,United States,Fintech,"['Menlo Ventures', ' Resolute Ventures', ' IA Ventures']",1.34,2021-04-15
114,Away,0.016016016016016016,0.0019404205288207702,0.0032894578315017693,0.3185974740563348,0.000842166295677697,$1.40 ,2019/5/15,United States,E-commerce & direct-to-consumer,"['Global Founders Capital', ' Comcast Ventures', ' Forerunner Ventures']",1.4,2019-05-15
115,Alloy,0.022022022022022022,0.0017825123387885569,0.004559736863235682,0.31424674772314254,0.000950207648955469,$1.35 ,2021/9/30,United States,Fintech,"['Bessemer Venture Partners', ' Eniac Ventures', ' Canapi Ventures']",1.35,2021-09-30
