,Company,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank,Valuation ($B) ,Date Added,Country,Category,Select Investors,Valuation($B) flaot,DateTime Joined
190,Retool,0.04204204204204204,2.655108863454003e-06,0.035135599104143274,0.35278774174963395,0.0011410107035695193,$1.85 ,2021/12/22,United States,Internet software & services,['Sequoia Capital'],1.85,2021-12-22
191,Klook,0.06706706706706707,0.011558764509348405,0.01120571926854906,0.35402831402831403,0.0022487613741577345,$1.35 ,2018/8/7,Hong Kong,Travel,"['Sequoia Capital China', ' Goldman Sachs', ' Matrix Partners China']",1.35,2018-08-07
192,Scalable Capital,0.01001001001001001,2.5352535834635804e-05,0.0009832996062870498,0.28181050189447665,0.0005439859396302821,$1.40 ,2021/6/8,Germany,Fintech,"['BlackRock', ' Tengelmann Ventures', ' Holtzbrinck Ventures']",1.4,2021-06-08
193,Extend,0.005005005005005005,1.0116338649485637e-05,0.0036878036318743045,0.2976402122743586,0.0002896727684251131,$1.60 ,2021/5/18,United States,Fintech,"['GreatPoint Ventures', ' Meritech Capital Partners', ' PayPal Ventures']",1.6,2021-05-18
194,Ivalua,0.055055055055055056,0.011703213203372491,0.04573386830501978,0.37115871632000663,0.0017947276864795393,$1.10 ,2019/5/21,United States,Fintech,"['Ardian', ' Tiger Global Management', ' KKR']",1.1,2019-05-21
195,Moveworks,0.04904904904904905,0.0034652500735826187,0.011946049670243538,0.36962570647747334,0.001672077359964134,$2.10 ,2021/6/30,United States,Artificial intelligence,"['Lightspeed Venture Partners', ' Sapphire Ventures', ' Kleiner Perkins Caufield & Byers']",2.1,2021-06-30
196,Urban Company,0.05905905905905906,0.0008037369563364712,0.09400761787177228,0.3613344165161123,0.001493946605338358,$2.10 ,2021/4/27,India,E-commerce & direct-to-consumer,"['VY Capital', ' Accel', ' Elevation Capital']",2.1,2021-04-27
197,Bunq,0.001001001001001001,0.0,2.0807161411730035e-53,0.001001001001001001,0.0010828370330265263,$2.00 ,2021/6/18,Netherlands,Fintech,['Undisclosed'],2.0,2021-06-18
198,Algolia,0.06306306306306306,0.004461084850410272,0.09421412578903522,0.36827362341765635,0.0016819443362783373,$2.25 ,2021/7/28,United States,Internet software & services,"['Accel', ' Alven Capital', ' Storm Ventures']",2.25,2021-07-28
199,Dragos,0.0,0.0,1.2111361960257657e-63,0.0,0.0001624255549540131,$1.70 ,2021/10/28,United States,Cybersecurity,"['DataTribe', ' Energy Impact Partners', ' AllegisCyber Capital']",1.7,2021-10-28
200,Marshmallow,0.002002002002002002,1.3373426867080841e-06,0.0007891216835110507,0.26704721963342654,0.00022853407281965646,$1.25 ,2021/9/8,United Kingdom,Fintech,"['Passion Capital', ' Hedosophia', ' Outrun Ventures']",1.25,2021-09-08
201,Rohlik,0.031031031031031032,0.0001809553536724234,0.016526781777563514,0.3376999641150585,0.0009699695711179487,$1.20 ,2021/7/1,Czech Republic,"Supply chain, logistics, & delivery","['Partech Partners', ' Index Ventures', ' Quadrille Capital']",1.2,2021-07-01
202,Tonal,0.005005005005005005,0.00023019095162655999,0.0005712489295959429,0.2614981864981865,0.0005020221806122411,$1.60 ,2021/3/31,United States,E-commerce & direct-to-consumer,"['Mayfield Fund', ' Shasta Ventures', ' L Catterton']",1.6,2021-03-31
203,Gong,0.015015015015015015,0.0005979289310279897,0.007186981796700145,0.31948211599143767,0.0006719461145445501,$7.25 ,2020/8/12,United States,Artificial intelligence,"['Norwest Venture Partners', ' Next World Capital', ' Wing Venture Capital']",7.25,2020-08-12
204,SouChe Holdings,0.013013013013013013,0.0004824598846713033,0.0016961983868524631,0.2983016349683016,0.0007182373719624949,$3.00 ,2017/11/1,China,E-commerce & direct-to-consumer,"['Morningside Ventures', ' Warburg Pincus', ' CreditEase Fintech Investment Fund']",3.0,2017-11-01
205,Clip,0.05305305305305305,0.0015541206878957406,0.016549545438609047,0.35402831402831403,0.001670918079374691,$2.00 ,2021/6/10,Mexico,Fintech,"['Alta Ventures Mexico', ' General Atlantic', ' SoftBank Group']",2.0,2021-06-10
206,Quora,0.03203203203203203,0.0015060086608728745,0.023574072233160666,0.3503324986578575,0.0010260757777304278,$2.00 ,2017/4/21,United States,Internet software & services,"['Y Combinator', ' Matrix Partners', ' Benchmark']",2.0,2017-04-21
207,XiaoZhu,0.005005005005005005,0.00032980004285163125,0.00023579694294429874,0.27054565482513077,0.00047675775607518723,$1.50 ,2017/11/1,China,Travel,"['Morningside Ventures', ' Capital Today', ' JOY Capital']",1.5,2017-11-01
208,Collective Health,0.058058058058058054,0.004198211549675725,0.022701388534303726,0.3582804334583694,0.0018250044859455068,$1.50 ,2019/6/17,United States,Fintech,"['New Enterprise Associates', ' Founders Fund', ' Google Ventures']",1.5,2019-06-17
209,LinkSure Network,0.0,0.0,1.2111361960257657e-63,0.0,0.0001624255549540131,$1.00 ,2015/1/1,China,Mobile & telecommunications,['N/A'],1.0,2015-01-01
210,Caris Life Sciences,0.001001001001001001,0.0,9.430224275107413e-05,0.2502841561262941,0.00019726680772151077,$7.83 ,2021/5/17,United States,Health,"['Sixth Street Partners', ' OrbiMed Advisors', ' Highland Capital Management']",7.83,2021-05-17
211,Clara,0.055055055055055056,0.003393621404160501,0.019586079940863386,0.376186088002996,0.0016453486109334527,$1.00 ,2021/12/6,Mexico,Fintech,"['DST Global', ' General Catalyst', ' Monashees+']",1.0,2021-12-06
212,Evidation,0.002002002002002002,0.0,0.0007426196671822566,0.262520995571843,0.00032997286362485234,$1.00 ,2021/3/22,United States,Health,"['B Capital Group', ' GE Ventures', ' McKesson Ventures']",1.0,2021-03-22
213,Addepar,0.009009009009009009,0.0003423110800323459,0.0019505680998225913,0.2942690589749413,0.000549871423404516,$2.17 ,2021/6/15,United States,Fintech,"['8VC', ' D1 Capital Partners', ' Sway Ventures']",2.17,2021-06-15
214,TaxBit,0.04504504504504504,0.002676581075189461,0.03182558905900748,0.3546518777694471,0.0014117921892621951,$1.50 ,2021/8/4,United States,Fintech,"['Insight Partners', ' Coinbase Ventures', ' PayPal Ventures']",1.5,2021-08-04
215,Spiber,0.003003003003003003,0.0,1.8870522176129773e-06,0.19601226926610232,0.0007273557315951452,$1.22 ,2021/9/8,Japan,Other,"['Cool Japan Fund', ' JAFCO', ' The Carlyle Group']",1.22,2021-09-08
216,Ironclad,0.1061061061061061,0.0038129343911249116,0.1420174138775071,0.3859197002464851,0.0027866290766316018,$3.20 ,2022/1/18,United States,Internet software & services,"['Accel', ' Sequoia Capital', ' Y Combinator']",3.2,2022-01-18
217,Gympass,0.058058058058058054,0.0027688980905409004,0.019306468222288903,0.3582804334583694,0.001884182874150492,$2.20 ,2019/6/12,United States,Internet software & services,"['General Atlantic', ' SoftBank Group', ' Atomico']",2.2,2019-06-12
218,KeepTruckin,0.058058058058058054,0.003652389140220589,0.031114372715673282,0.36643057980637594,0.0017587753706801517,$2.30 ,2019/4/23,United States,"Supply chain, logistics, & delivery","['Google Ventures', ' Index Ventures', ' Scale Venture Partners']",2.3,2019-04-23
219,FloQast,0.05305305305305305,0.002100010017089637,0.037375222129568696,0.35875920463893735,0.0015700525094813446,$1.20 ,2021/7/21,United States,Fintech,"['Polaris Partners', ' Insight Partners', ' Norwest Venture Partners']",1.2,2021-07-21
220,Ola Cabs,0.07407407407407407,0.00277301861675693,0.046821640910873166,0.36609746109746105,0.002019801790862232,$7.50 ,2014/10/27,India,Auto & transportation,"['Accel Partners', ' SoftBank Group', ' Sequoia Capital']",7.5,2014-10-27
221,Tuhu,0.011011011011011011,1.975619878091488e-07,0.0009155203329211333,0.29287796887796885,0.0005663098658908483,$1.16 ,2018/9/15,China,Auto & transportation,"['Qiming Venture Partners', ' Yaxia Automobile', ' Far East Horizon']",1.16,2018-09-15
222,Miaoshou Doctor,0.07407407407407407,0.004354501486880603,0.013357076984414518,0.34478356781438974,0.0024871329264282674,$4.25 ,2019/6/27,China,E-commerce & direct-to-consumer,"['Sequoia Capital China', ' Qiming Venture Partners', ' Tencent Holdings']",4.25,2019-06-27
223,Branch,0.02102102102102102,0.00031964405445528344,0.006796961388993896,0.3311736901375059,0.0007844507558647574,$1.00 ,2018/9/10,United States,Mobile & telecommunications,"['New Enterprise Associates', ' Pear', ' Cowboy Ventures']",1.0,2018-09-10
224,Hozon Auto,0.0,0.0,1.2111361960257657e-63,0.0,0.0001624255549540131,$2.74 ,2021/10/25,China,Auto & transportation,"['HD Capital', ' Qihoo 360 Technology', ' China Fortune Land Development']",2.74,2021-10-25
225,Klarna,0.07607607607607608,0.005775443416422964,0.046796323635722004,0.37724328544000674,0.0021375474120677827,$45.60 ,2011/12/12,Sweden,Fintech,"['Institutional Venture Partners', ' Sequoia Capital', ' General Atlantic']",45.6,2011-12-12
226,Changingedu,0.062062062062062065,0.001220549496611055,0.010678925236836943,0.3354495686857203,0.0019889517578910456,$1.50 ,2017/10/30,China,Edtech,"['Trustbridge Partners', ' IDG Capital', ' Sequoia Capital China']",1.5,2017-10-30
227,Epidemic Sound,0.007007007007007007,0.0017974532810656671,0.0007408215275603861,0.26704721963342654,0.0006164345272471408,$1.40 ,2021/3/11,Sweden,Internet software & services,"['EQT Partners', ' Blackstone']",1.4,2021-03-11
228,Gett,0.002002002002002002,2.3412709089764928e-05,1.626149135952029e-05,0.21494913648636627,0.0004167805370512037,$1.50 ,2016/5/24,Israel,Auto & transportation,"['Volkswagen', ' Access Industries', ' Vostok New Ventures']",1.5,2016-05-24
229,iCapital Network,0.015015015015015015,0.0007194276081189213,0.0016153553313502191,0.29362537893343577,0.0007971086834800995,$6.00 ,2021/7/27,United States,Fintech,"['BlackRock', ' Blackstone', ' UBS']",6.0,2021-07-27
230,Hibob,0.035035035035035036,0.001686064669538279,0.0070854967021019176,0.33419685245411385,0.0013546471253631292,$1.65 ,2021/10/12,Israel,Internet software & services,"['Bessemer Venture Partners', ' Eight Roads Ventures', ' Battery Ventures']",1.65,2021-10-12
231,OVO Energy,0.0,0.0,1.2111361960257657e-63,0.0,0.0001624255549540131,$1.28 ,2019/2/14,United Kingdom,Other,"['Mitsubishi Corporation', ' Mayfair Equity Partners']",1.28,2019-02-14
232,Blockchain.com,0.055055055055055056,0.004777322995366329,0.020715932882135774,0.36247273375986244,0.0017830570917430693,$5.20 ,2021/2/17,United Kingdom,Fintech,"['Lightspeed Venture Partners', ' Google Ventures', ' Lakestar']",5.2,2021-02-17
233,SpotOn,0.024024024024024024,0.005070288667474733,0.007082851031074435,0.34507901217412784,0.001123403349739747,$3.15 ,2021/5/26,United States,Fintech,"['Dragoneer Investment Group', ' DST Global', ' Franklin Templeton']",3.15,2021-05-26
234,Indigo Ag,0.002002002002002002,0.0,0.0007770382157344688,0.2616681008493874,0.00028108683531867507,$3.50 ,2017/9/26,United States,Artificial intelligence,"['Activant Capital Group', ' Alaska Permanent Fund', ' Baillie Gifford & Co.']",3.5,2017-09-26
235,Ovo,0.0,0.0,1.2111361960257657e-63,0.0,0.0001624255549540131,$2.90 ,2019/3/14,Indonesia,Fintech,"['Grab', ' Tokopedia', ' Tokyo Century Corporation']",2.9,2019-03-14
236,Huisuanzhang,0.02102102102102102,2.260808033901343e-06,0.002309957486024128,0.3060085161148991,0.0008058320036489642,$1.28 ,2021/5/24,China,Fintech,"['IDG Capital', ' Gaocheng Capital', ' Chuanrong Capital']",1.28,2021-05-24
237,WTOIP,0.001001001001001001,0.0,2.2931419352581704e-06,0.19153731615087144,0.0003126066874069739,$1.27 ,2018/4/8,China,Internet software & services,"['Dark Horse Technology Group', ' Hopu Investment Management', ' Kefa Capital']",1.27,2018-04-08
238,Digit Insurance,0.0,0.0,1.2111361960257657e-63,0.0,0.0001624255549540131,$3.50 ,2021/1/15,India,Fintech,"['Fairfax Financial Holdings', ' A91 Partners', ' TVS Capital']",3.5,2021-01-15
239,EQRx,0.023023023023023025,8.294184279291317e-07,0.014058879555979504,0.32914361030421513,0.0007683902588582806,$1.23 ,2021/1/11,United States,Health,"['Nextech Invest', ' Casdin Capital', ' Google Ventures']",1.23,2021-01-11
240,Vectra Networks,0.023023023023023025,0.0009691509026678427,0.00493501177455409,0.32332975287611976,0.0008761878362656826,$1.20 ,2021/4/29,United States,Artificial intelligence,"['IA Ventures', ' Khosla Ventures', ' AME Cloud Ventures']",1.2,2021-04-29
241,Magic Leap,0.05305305305305305,0.004959059578827349,0.027201037014104573,0.36198400647838846,0.0015981924739655342,$2.00 ,2014/10/21,United States,Hardware,"['Obvious Ventures', ' Qualcomm Ventures', ' Andreessen Horowitz']",2.0,2014-10-21
242,VerbIT,0.002002002002002002,0.0,0.0010192534874342897,0.26634074550741216,0.0002175843212446577,$2.00 ,2021/6/8,Israel,Artificial intelligence,"['ClalTech', ' Vertex Ventures', ' Oryzn Capital']",2.0,2021-06-08
243,Patreon,0.04904904904904905,0.0015681942659995598,0.025230914122046637,0.3555913529423463,0.0016050880666852716,$4.00 ,2020/9/2,United States,Internet software & services,"['Index Ventures', ' Thrive Capital', ' CRV']",4.0,2020-09-02
244,InVision,0.05905905905905906,0.005462394419273388,0.04738939124656867,0.38280152776350496,0.0018179751431820052,$1.90 ,2017/11/1,United States,Internet software & services,"['FirstMark Capital', ' Tiger Global Management', ' ICONIQ Capital']",1.9,2017-11-01
245,Olist,0.004004004004004004,0.00010315660449090031,0.0011375904061392654,0.2836965179339255,0.0003299160184330466,$1.50 ,2021/12/15,Brazil,E-commerce & direct-to-consumer,"['Redpoint e.ventures', ' Valor Capital Group', ' SoftBank Latin America Fund']",1.5,2021-12-15
246,Newsela,0.011011011011011011,0.00022499941105309697,0.006429645236957824,0.304734927890433,0.0005228723144332997,$1.00 ,2021/2/25,United States,Internet software & services,"['Owl Ventures', ' Technology Crossover Ventures', ' Tao Capital Partners']",1.0,2021-02-25
247,Pet Circle,0.003003003003003003,9.036754902530247e-05,0.001471030781250924,0.28260154891733835,0.0003311552989402727,$1.00 ,2021/12/7,Australia,E-commerce & direct-to-consumer,"['Prysm Capital', ' Baillie Gifford & Co.', ' TDM Growth Partners']",1.0,2021-12-07
248,Ola Electric Mobility,0.07507507507507508,0.003937746054614916,0.057598714468742776,0.38371339419457573,0.002099248167705462,$5.00 ,2019/7/2,India,Auto & transportation,"['SoftBank Group', ' Tiger Global Management', ' Matrix Partners India']",5.0,2019-07-02
249,Motorway,0.03003003003003003,0.00012513925145511467,0.0165705104450651,0.34041184041184036,0.0009337449458777876,$1.33 ,2021/11/29,United Kingdom,E-commerce & direct-to-consumer,"['Marchmont Ventures', ' BMW i Ventures', ' Index Ventures']",1.33,2021-11-29
250,Forter,0.01001001001001001,0.00230836879801459,0.0016961908863507055,0.29351837260000524,0.0006726373266553113,$3.00 ,2020/11/19,United States,Cybersecurity,"['Sequoia Capital Israel', ' Scale Venture Partners', ' Commerce Ventures']",3.0,2020-11-19
251,Noom,0.015015015015015015,0.004076937116285299,0.0059087926384177435,0.3024462690253152,0.0009781675151163424,$3.70 ,2021/5/24,United States,Health,"['Qualcomm Ventures', ' Samsung Ventures', ' Silver Lake']",3.7,2021-05-24
252,Clearco,0.008008008008008008,0.0011049297909286378,0.0007014755646465019,0.2718239670652765,0.0009284735312600999,$2.00 ,2021/4/20,Canada,Fintech,"['Highland Capital Partners', ' Oak HC/FT Partners', ' Emergence Capital Partners']",2.0,2021-04-20
253,Project44,0.008008008008008008,0.0010199680805652704,0.0017654849139480567,0.2861152449074296,0.0006214850064215941,$2.62 ,2021/6/1,United States,"Supply chain, logistics, & delivery","['Emergence Capital Partners', ' 8VC', ' Chicago Ventures']",2.62,2021-06-01
254,Cell C,0.0,0.0,1.2111361960257657e-63,0.0,0.0001624255549540131,$1.00 ,2017/8/7,South Africa,Mobile & telecommunications,"['Blue Label Telecoms', ' Net1 UEPS Technologies']",1.0,2017-08-07
255,Unisound,0.022022022022022022,0.0022241225837557363,0.006683591658616741,0.320626757330579,0.0009659742172077955,$1.19 ,2018/7/19,China,Artificial intelligence,"['Qiming Venture Partners', ' China Internet Investment Fund', ' Qualcomm Ventures']",1.19,2018-07-19
256,YH Global,0.0,0.0,1.2111361960257657e-63,0.0,0.0001624255549540131,$1.00 ,2017/9/21,China,"Supply chain, logistics, & delivery","['Co-Energy Finance', ' Grandland']",1.0,2017-09-21
257,Meero,0.014014014014014014,0.0005704985316916752,0.002839735080246908,0.29786036036036034,0.0009251928520683118,$1.00 ,2019/6/18,France,Artificial intelligence,"['Aglae Ventures', ' Global Founders Capital', ' Alven Capital']",1.0,2019-06-18
258,Cerebral,0.005005005005005005,0.0017776291495890017,0.0005678092152101016,0.25658312023396446,0.0007378231030800016,$4.80 ,2021/6/10,United States,Health,"['Oak HC/FT Partners', ' Artis Ventures', ' WestCap Group']",4.8,2021-06-10
259,Thirty Madison,0.007007007007007007,0.001797388570935665,0.001745539715417692,0.26704721963342654,0.0007577110429656917,$1.00 ,2021/6/2,United States,Health,"['Northzone Ventures', ' Maveron', ' Johnson & Johnson Innovation']",1.0,2021-06-02
260,Ninja Van,0.002002002002002002,0.0,0.0007426196671822566,0.262520995571843,0.00032997286362485234,$1.00 ,2021/9/27,Singapore,"Supply chain, logistics, & delivery","['B Capital Group', "" Monk's Hill Ventures"", ' Dynamic Parcel Distribution']",1.0,2021-09-27
261,Vestiaire Collective,0.012012012012012012,0.0020031796530503984,0.001301166873527499,0.29160550847734046,0.000953901121657233,$1.70 ,2021/3/1,France,E-commerce & direct-to-consumer,"['Eurazeo', ' IDInvest Partners', ' Balderton Capital']",1.7,2021-03-01
262,C2FO,0.006006006006006006,0.0014318681336924616,0.0010532339314196398,0.27936677572473617,0.0005279580425772031,$1.00 ,2019/8/7,United States,Fintech,"['Union Square Ventures', ' Summerhill Venture Partners', ' Mithril Capital Management']",1.0,2019-08-07
263,DeepBlue Technology,0.002002002002002002,0.0,7.971332382590145e-05,0.23271147483802784,0.00034135545060976505,$1.35 ,2018/4/16,China,Artificial intelligence,"['DESUN Capital', ' Yunfeng Capital', ' Meridian Capital']",1.35,2018-04-16
264,Stripe,0.023023023023023025,0.0005747540994070107,0.0064423027487867926,0.32634295559741267,0.0008362435724521868,$95.00 ,2014/1/23,United States,Fintech,"['Khosla Ventures', ' LowercaseCapital', ' capitalG']",95.0,2014-01-23
265,ClickUp,0.005005005005005005,6.023054391264904e-05,0.0006849658901059613,0.2662526989799717,0.0004071748456352598,$4.00 ,2020/12/15,United States,Internet software & services,"['Georgian Partners', ' Craft Ventures']",4.0,2020-12-15
266,MadeiraMadeira,0.03403403403403403,0.0007829012570592423,0.012095100598896472,0.33461338363706455,0.0010629921617526783,$1.00 ,2021/1/7,Brazil,E-commerce & direct-to-consumer,"['Flybridge Capital Partners', ' SoftBank Group', ' Monashees+']",1.0,2021-01-07
267,OneTrust,0.04004004004004004,9.954055087246239e-07,0.03148416047320474,0.35186300323915,0.0011478429432205486,$5.10 ,2019/7/11,United States,Internet software & services,['Insight Partners'],5.1,2019-07-11
268,Side,0.008008008008008008,0.0014848839616011889,0.0013121800240832582,0.2994105629793362,0.0005313717999225514,$2.50 ,2021/3/22,United States,Internet software & services,"['Coatue Managemeny', ' Trinity Ventures', ' Matrix Partners']",2.5,2021-03-22
269,Mia.com,0.050050050050050046,0.0004655987195550496,0.009709389206292381,0.32502599451751996,0.001531873564973249,$1.00 ,2015/9/8,China,E-commerce & direct-to-consumer,"['Sequoia Capital China', ' ZhenFund', ' K2 Ventures']",1.0,2015-09-08
270,Automation Anywhere,0.06106106106106106,0.010236221754524374,0.01412997673129463,0.37496015568641267,0.0020012809740198793,$6.80 ,2018/7/2,United States,Artificial intelligence,"['General Atlantic', ' Goldman Sachs', ' New Enterprise Associates']",6.8,2018-07-02
271,Monzo,0.017017017017017015,0.0024228008824109777,0.005432308457020016,0.31547763980196414,0.000832091028006717,$4.50 ,2018/10/31,United Kingdom,Fintech,"['Passion Capital', ' Thrive Capital', ' Orange Digital Ventures']",4.5,2018-10-31
272,Ziroom,0.08608608608608609,0.01645417900292632,0.02162259801665216,0.3826196743061351,0.0025932869114785144,$6.60 ,2018/1/17,China,E-commerce & direct-to-consumer,"['Sequoia Capital China', ' Warburg Pincus', ' General Catalyst']",6.6,2018-01-17
273,EBANX,0.003003003003003003,0.00040991315082715283,0.00013694516904405276,0.2530362596338091,0.0004100920421353498,$1.00 ,2019/10/16,Brazil,Fintech,"['FTV Capital', ' Endeavor']",1.0,2019-10-16
274,Pine Labs,0.035035035035035036,0.001947085779975737,0.013846905529336635,0.3355893393393394,0.001237685763767753,$3.00 ,2020/1/24,India,Fintech,"['Sequoia Capital India', ' Temasek', ' PayPal Ventures']",3.0,2020-01-24
275,Zeta,0.03003003003003003,7.385681253384151e-07,0.011343560165687315,0.32621077943070653,0.0009261169796200616,$1.45 ,2021/5/24,United States,Fintech,"['Sodexo Ventures', ' SoftBank Group']",1.45,2021-05-24
276,Everlaw,0.04904904904904905,0.0021958005014701527,0.02348611651825407,0.364771021021021,0.0014500862151419283,$2.00 ,2021/11/2,United States,Internet software & services,"['K9 Ventures', ' Menlo Ventures', ' Andreessen Horowitz']",2.0,2021-11-02
277,Devo,0.06006006006006006,0.0031569401917381176,0.03519013304025548,0.3692867558067008,0.0018049266468957818,$1.50 ,2021/10/26,United States,Data management & analytics,"['Insight Partners', ' Kibo Ventures', ' Bessemer Venture Partners']",1.5,2021-10-26
278,K Health,0.003003003003003003,0.003592771127841268,0.0014641578788739788,0.2571565818692255,0.0008975378682313702,$1.50 ,2021/1/19,United States,Health,"['Max Ventures', ' Mangrove Capital Partners', ' 14W']",1.5,2021-01-19
279,CloudBees,0.035035035035035036,0.0011089117636677059,0.007980053610953039,0.3491176482073751,0.0011910337477950303,$1.15 ,2021/12/9,United States,Data management & analytics,"['Matrix Partners', ' Lightspeed Venture Partners', ' Verizon Ventures']",1.15,2021-12-09
280,Tanium,0.043043043043043044,0.0006146898590142138,0.02176319868534198,0.35543442824996224,0.0012388714522270975,$9.00 ,2015/3/31,United States,Cybersecurity,"['Andreessen Horowitz', ' Nor-Cal Invest', ' TPG Growth']",9.0,2015-03-31
281,FlixMobility,0.02702702702702703,0.00017878556405221904,0.005474520890493831,0.32088223681849176,0.0009481285124882098,$3.00 ,2019/7/18,Germany,Auto & transportation,"['Holtzbrinck Ventures', ' Unternehmertum Venture Capital', ' General Atlantic']",3.0,2019-07-18
282,ZEPZ,0.062062062062062065,0.0012946864340768755,0.09755205939348108,0.36020322648229625,0.0016611267321374474,$5.00 ,2021/8/23,United Kingdom,Fintech,"['Accel', ' Technology Crossover Ventures', ' LeapFrog Investments']",5.0,2021-08-23
283,Zhaogang,0.03203203203203203,0.0024183039917224374,0.0031355254959201154,0.31205517799861077,0.001255255077977129,$1.00 ,2017/6/29,China,E-commerce & direct-to-consumer,"['K2 Ventures', ' Matrix Partners China', ' IDG Capital']",1.0,2017-06-29
284,Infobip,0.0,0.0,1.2111361960257657e-63,0.0,0.0001624255549540131,$1.00 ,2020/7/30,Croatia,Mobile & telecommunications,['One Equity Partners'],1.0,2020-07-30
285,Visier,0.013013013013013013,0.0003384047418074504,0.004966864347036202,0.30312924893278675,0.0006549872729033222,$1.00 ,2021/6/29,Canada,Internet software & services,"['Foundation Capital', ' Summit Partners', ' Adams Street Partners']",1.0,2021-06-29
286,Carbon,0.06306306306306306,0.001295797596312344,0.04845239137443635,0.36810530823327897,0.0017526291984893828,$2.40 ,2015/8/20,United States,Hardware,"['Google Ventures', ' Sequoia Capital', ' Wakefield Group']",2.4,2015-08-20
287,Calm,0.009009009009009009,0.00027299666107252497,0.0018127200473515178,0.29086833312185423,0.00048353839231442616,$2.00 ,2019/2/6,United States,Consumer & retail,"['Insight Venture Partners', ' TPG Growth', ' Sound Ventures']",2.0,2019-02-06
288,Eightfold.ai,0.04704704704704705,0.0031049936590632917,0.02080275234873596,0.3611723831454773,0.0015003769914713769,$2.10 ,2020/10/27,United States,Internet software & services,"['Foundation Capital', ' Institutional Venture Partners', ' General Catalyst']",2.1,2020-10-27
289,Flutterwave,0.01001001001001001,9.79176707881098e-05,0.0029777267354556478,0.30052776657254265,0.0005529459442244107,$1.00 ,2021/3/9,United States,Fintech,"['Green Visor Capital', ' CRE Venture Capital', ' Greycroft']",1.0,2021-03-09
290,Wenheyou,0.07207207207207207,0.005651802899595637,0.011952845338219005,0.3473110885788764,0.0024222118610808326,$1.55 ,2021/4/17,China,Other,"['Sequoia Capital China', ' Warburg Pincus', ' IDG Capital']",1.55,2021-04-17
291,VOI,0.006006006006006006,0.0016074992279680232,0.0009606817986737081,0.2791731072493638,0.0006478450988167922,$1.00 ,2021/12/21,Sweden,Travel,"['Vostok New Ventures', ' The Raine Group', ' Balderton Capital']",1.0,2021-12-21
292,SambaNova Systems,0.026026026026026026,0.0007331079160582703,0.014447079749869534,0.3300878747600059,0.0010174359752470738,$5.00 ,2021/4/13,United States,Data management & analytics,"['Walden International', ' Google Ventures', ' Intel Capital']",5.0,2021-04-13
293,Ethos Technologies,0.11411411411411411,0.005545685545609533,0.1386366499640689,0.3915480867352525,0.0029871852931312296,$2.70 ,2021/5/11,United States,Fintech,"['Sequoia Capital', ' Google Ventures', ' Accel']",2.7,2021-05-11
294,Fireblocks,0.022022022022022022,0.00010639611340912298,0.007500570137931675,0.3468623662422112,0.00075878677533416,$8.00 ,2021/7/27,United States,Fintech,"['Tenaya Capital', ' Coatue Management', ' Stripes Group']",8.0,2021-07-27
295,HyalRoute,0.0,0.0,1.2111361960257657e-63,0.0,0.0001624255549540131,$3.50 ,2020/5/26,Singapore,Mobile & telecommunications,['Kuang-Chi'],3.5,2020-05-26
296,Sorare,0.0940940940940941,0.006108117302060504,0.10721002844775554,0.381351521976522,0.0024077660001389687,$4.30 ,2021/9/21,France,E-commerce & direct-to-consumer,"['Benchmark', ' Accel', ' SoftBank Group']",4.3,2021-09-21
297,Eruditus Executive Education,0.028028028028028028,0.002056554291093562,0.012191163563856569,0.325288535708568,0.0010188642549239925,$3.20 ,2021/8/12,India,Edtech,"['Sequoia Capital India', ' Softbank', ' Bertelsmann India Investments']",3.2,2021-08-12
298,Bitmain Technologies,0.08208208208208208,0.010694254108230552,0.01690093736372825,0.37356883785455214,0.002508889878996473,$12.00 ,2018/7/6,China,Hardware,"['Coatue Management', ' Sequoia Capital China', ' IDG Capital']",12.0,2018-07-06
299,Relativity Space,0.006006006006006006,0.00018697069733226136,0.002489789894447309,0.29534815343396204,0.0003975014515331121,$4.20 ,2020/11/23,United States,Other,"['Playground Global', ' Bond', ' Tribe Capital']",4.2,2020-11-23
300,Star Charge,0.007007007007007007,1.3556692964645565e-06,0.0011141449293234724,0.27526124894545945,0.0005989643601588472,$2.41 ,2021/5/19,China,Auto & transportation,"['Shunwei Capital Partners', ' China Media Group', ' Guangzhou Huiyin Aofeng Equity Investment Fund']",2.41,2021-05-19
301,Pantheon Systems,0.03903903903903904,0.0028784779357121735,0.012874487260964497,0.3376999641150585,0.0013368964449366437,$1.00 ,2021/7/13,United States,Internet software & services,"['Foundry Group', ' Scale Venture Partners', ' SoftBank Group']",1.0,2021-07-13
302,Notion Labs,0.031031031031031032,7.787564649891596e-05,0.017227007830488774,0.33755843018206805,0.000983044042861871,$10.00 ,2020/4/1,United States,Internet software & services,"['Index Ventures', ' Draft Ventures', ' Felicis Ventures']",10.0,2020-04-01
303,Workrise,0.015015015015015015,3.3171875148236303e-06,0.0025642186604554924,0.30741008183756274,0.0006232862933152162,$2.90 ,2019/9/30,United States,Internet software & services,"['Founders Fund', ' Quantum Energy Partners', ' Bedrock Capital']",2.9,2019-09-30
304,Pentera,0.04604604604604605,0.004549562346488391,0.03173869882473028,0.3541839993027328,0.0014459126503292557,$1.00 ,2022/1/11,Israel,Cybersecurity,"['AWZ Ventures', ' Blackstone', ' Insight Partners']",1.0,2022-01-11
